datasize,ml_time,classic_time,ml_compressed_size,classic_compressed_size,ml_compression_ratio,classic_compression_ratio,ml_method,classic_method,ml_score,classic_score,ml_cbor_original_size,ml_cbor_compressed_size,ml_cbor_compressratio,classic_cbor_original_size,classic_cbor_compressed_size,classic_cbor_compressratio,ml_json_original_size,ml_json_compressed_size,ml_json_compressratio,classic_json_original_size,classic_json_compressed_size,classic_json_compressratio
100,2.295166015625,2239.05517578125,30,90,0.7,0.1,CompressPIP_PD_0.3,CompressMinMax_0.9,14.48064660591794,16.029746573256542,2299,901,0.6080904741191823,2315,2115,0.08639308855291576,5509,1845,0.665093483390815,5529,4996,0.09640079580394284
200,4.3720703125,2417.474853515625,100,115,0.5,0.425,CompressPIP_ED_0.5,CompressSTC_0.2,13.136876819228384,15.421423816547268,4307,2309,0.4638959832830276,4307,2609,0.3942419317390295,10861,5570,0.48715587883252004,10873,6370,0.4141451301388761
300,5.789306640625,2631.22802734375,150,210,0.5,0.3,CompressPIP_ED_0.5,CompressMinMax_0.7,16.0803644017742,15.306955245036118,6316,3317,0.47482583913869536,6308,4513,0.2845592897907419,16196,8256,0.49024450481600396,16193,11411,0.29531278947693446
400,7.082763671875,2976.3251953125,360,293,0.1,0.2675,CompressMinMax_0.9,CompressSTC_0.1,14.108607825466992,15.083347415668195,8300,7504,0.09590361445783133,8308,6170,0.25734232065479057,21521,19382,0.09939129222619766,21537,15822,0.26535729210196407
500,10.2490234375,3278.00927734375,450,270,0.1,0.46,CompressMinMax_0.9,CompressSTC_0.2,14.775275217610005,15.246963626689185,10308,9313,0.09652696934419869,10308,5710,0.44606131160263873,26873,24199,0.09950507944777286,26874,14612,0.4562774428815956
600,9.998046875,3807.394775390625,300,433,0.5,0.2783333333333333,CompressPIP_PD_0.5,CompressSTC_0.1,15.510762203086776,15.107153000210584,12308,6309,0.48740656483587913,12308,8970,0.2712057198570036,32208,16229,0.4961189766517635,32223,23283,0.27744157899636906
700,12.483154296875,4293.60693359375,350,630,0.5,0.1,CompressPIP_PD_0.5,CompressMinMax_0.9,15.516470828105618,15.210660128413954,14396,7349,0.4895109752709086,14396,12990,0.09766601833842734,37548,18910,0.49637796953233193,37563,33805,0.10004525730106754
800,21.676025390625,4894.4169921875,720,640,0.1,0.2,CompressMinMax_0.9,CompressMinMax_0.8,15.827029278282438,15.996330599576135,16604,14978,0.09792821006986269,16604,13351,0.19591664659118285,42942,38627,0.10048437427227423,42942,34336,0.20040985515346282
900,24.88623046875,5622.18408203125,810,630,0.1,0.3,CompressMinMax_0.9,CompressMinMax_0.7,14.134005195797618,15.212940294185243,18788,16936,0.09857355758995104,18796,13244,0.29538199616939775,48250,43397,0.10058031088082901,48310,33846,0.2993997102049265
1000,23.1708984375,6674.798828125,500,527,0.5,0.473,CompressPIP_PD_0.5,CompressSTC_0.2,14.201465756775729,15.127261385959276,20988,10629,0.4935677530017153,20996,11242,0.46456467898647363,53574,26910,0.49770411020271027,53590,28286,0.4721776450830379
