datasize,ml_time,classic_time,ml_compressed_size,classic_compressed_size,ml_compression_ratio,classic_compression_ratio,ml_method,classic_method,ml_score,classic_score,ml_cbor_original_size,ml_cbor_compressed_size,ml_cbor_compressratio,classic_cbor_original_size,classic_cbor_compressed_size,classic_cbor_compressratio,ml_json_original_size,ml_json_compressed_size,ml_json_compressratio,classic_json_original_size,classic_json_compressed_size,classic_json_compressratio
100,0.874755859375,100.719970703125,21,21,0.79,0.79,CompressNTHS_0.2,CompressNTHS_0.2,79.3945,79.3945,2291,713,0.6887821911828895,2291,713,0.6887821911828895,5354,1371,0.7439297721329847,5354,1371,0.7439297721329847
200,1.455078125,269.90234375,21,40,0.895,0.8,CompressNTHS_0.1,CompressPIP_PD_0.2,79.173,79.5699,4291,713,0.8338382661384293,4291,1093,0.7452808203216034,10495,1382,0.8683182467841829,10495,2348,0.7762744163887566
300,2.1025390625,517.421630859375,31,60,0.8966666666666666,0.8,CompressNTHS_0.1,CompressPIP_ED_0.2,79.1644,79.5669,6292,913,0.8548951048951049,6292,1493,0.7627145581691036,15598,1908,0.8776766252083601,15580,3369,0.7837612323491656
400,2.876220703125,840.29296875,41,81,0.8975,0.7975,CompressNTHS_0.1,CompressNTHS_0.2,79.4042,79.6056,8292,1113,0.8657742402315485,8292,1913,0.769295706705258,20675,2406,0.8836275695284159,20675,4442,0.7851511487303506
500,3.561279296875,1192.05859375,51,101,0.898,0.798,CompressNTHS_0.1,CompressNTHS_0.2,79.3206,79.5922,10292,1313,0.8724251846094053,10292,2313,0.7752623396813059,25847,2918,0.8871048864471699,25848,5474,0.7882234602290312
600,3.864013671875,1646.049072265625,61,121,0.8983333333333333,0.7983333333333333,CompressNTHS_0.1,CompressNTHS_0.2,79.2964,79.587,12292,1513,0.8769118125610152,12292,2713,0.7792873413602343,31039,3447,0.8889461645027223,31040,6522,0.7898840206185567
700,4.407958984375,2199.1376953125,71,141,0.8985714285714286,0.7985714285714286,CompressNTHS_0.1,CompressNTHS_0.2,79.472,79.6338,14380,1723,0.8801808066759388,14380,3131,0.7822670375521558,36215,3964,0.8905425928482673,36211,7551,0.7914722045787191
800,5.10986328125,2678.86181640625,81,161,0.89875,0.79875,CompressNTHS_0.1,CompressNTHS_0.2,79.3064,79.5944,16580,1943,0.882810615199035,16580,3571,0.7846200241254524,41389,4482,0.8917103578245428,41376,8578,0.7926817478731631
900,5.864501953125,3419.78125,91,181,0.8988888888888888,0.7988888888888889,CompressNTHS_0.1,CompressNTHS_0.2,79.3844,79.6358,18780,2163,0.8848242811501598,18780,4011,0.7864217252396166,46549,4998,0.892629272379643,46548,9622,0.7932886482770474
1000,52.541015625,4161.89013671875,101,201,0.899,0.799,CompressNTHS_0.1,CompressNTHS_0.2,79.473,79.6609,20980,2383,0.8864156339370829,20980,4451,0.7878455672068637,51675,5499,0.8935849056603774,51687,10647,0.7940100992512624
