datasize,ml_time,classic_time,ml_compressed_size,classic_compressed_size,ml_compression_ratio,classic_compression_ratio,ml_method,classic_method,ml_score,classic_score,ml_cbor_original_size,ml_cbor_compressed_size,ml_cbor_compressratio,classic_cbor_original_size,classic_cbor_compressed_size,classic_cbor_compressratio,ml_json_original_size,ml_json_compressed_size,ml_json_compressratio,classic_json_original_size,classic_json_compressed_size,classic_json_compressratio
100,1.246337890625,90.09814453125,10,10,0.9,0.9,CompressPIP_PD_0.1,CompressPIP_PD_0.1,89.9657,89.9657,2521,541,0.7854026180087267,2521,541,0.7854026180087267,5743,913,0.841023855127982,5743,913,0.841023855127982
200,1.5400390625,291.059326171875,21,20,0.895,0.9,CompressNTHS_0.1,CompressPIP_PD_0.1,86.3494,89.0551,4721,783,0.8341453081974158,4721,761,0.83880533785215,11185,1531,0.8631202503352704,11148,1434,0.871367061356297
300,3.570068359375,451.968017578125,30,60,0.9,0.8,CompressPIP_PD_0.1,CompressPIP_PD_0.2,88.9884,89.3932,6922,981,0.8582779543484542,6922,1641,0.7629297890783011,16543,1947,0.8823067158314695,16544,3569,0.784272243713733
400,2.81787109375,736.591064453125,41,40,0.8975,0.9,CompressNTHS_0.1,CompressPIP_PD_0.1,90.402,90.7575,9122,1223,0.8659285244463933,9122,1201,0.8683402762552072,22028,2609,0.8815598329398947,21998,2520,0.8854441312846623
500,3.69189453125,1018.42578125,51,50,0.898,0.9,CompressNTHS_0.1,CompressPIP_PD_0.1,90.0529,90.9841,11322,1443,0.8725490196078431,11322,1421,0.8744921391980216,27436,3128,0.8859892112552851,27398,3037,0.8891524928826922
600,3.98681640625,1399.867919921875,61,60,0.8983333333333333,0.9,CompressNTHS_0.1,CompressPIP_PD_0.1,89.6716,91.4056,13522,1663,0.8770152344327762,13522,1641,0.8786422126904304,32960,3726,0.8869538834951456,32900,3615,0.8901215805471124
700,4.63330078125,1814.22900390625,71,70,0.8985714285714286,0.9,CompressNTHS_0.1,CompressPIP_PD_0.1,90.5621,91.3648,15722,1883,0.8802315227070348,15722,1861,0.8816308357715303,38385,4268,0.8888107333593852,38323,4157,0.8915272812671242
800,5.18408203125,2227.30322265625,81,80,0.89875,0.9,CompressNTHS_0.1,CompressPIP_PD_0.1,88.9079,91.3785,17922,2103,0.8826581854703716,17922,2081,0.8838857270393929,43763,4781,0.8907524621255398,43700,4669,0.8931578947368422
900,5.923828125,2892.398193359375,91,90,0.8988888888888888,0.9,CompressNTHS_0.1,CompressPIP_PD_0.1,89.0282,91.744,20122,2323,0.8845542192624988,20122,2301,0.8856475499453335,49313,5361,0.8912862733964675,49224,5218,0.8939947992849017
1000,6.40576171875,3392.18701171875,101,200,0.899,0.8,CompressNTHS_0.1,CompressPIP_PD_0.2,89.8503,91.0147,22322,2543,0.8860765164411791,22322,4721,0.7885046142818743,54850,5905,0.8923427529626253,54774,11219,0.795176543615584
